dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
California Housing,Extended,5000,5,Ridge,5,0.3302828374139271,0.2452258102292468,0.6623876005389169,{'model__alpha': 0.001}
California Housing,Extended,5000,5,Random Forest,1,0.2500814905034873,0.1759572654841629,0.7926981062594876,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,5000,5,Random Forest,2,0.2512620295977354,0.1844647115499533,0.8106272778555117,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,5000,5,Random Forest,3,0.2680274571233165,0.1881044686993503,0.7904665272375757,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,5000,5,Random Forest,4,0.2432673472485197,0.1840628513270115,0.8119108014828149,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,5000,5,Random Forest,5,0.2462550619491464,0.1767668746276906,0.8123205561947279,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,5000,5,XGBoost,1,0.2354937910677463,0.1713340211632061,0.8161773199504112,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
California Housing,Extended,5000,5,XGBoost,2,0.2311946248881154,0.1716250572201899,0.8396683874227759,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,5000,5,XGBoost,3,0.2594969396597446,0.1785617838342329,0.8035919338031126,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,5000,5,XGBoost,4,0.2264652184368411,0.1727196732561688,0.8369956335015014,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,5000,5,XGBoost,5,0.2320395852307196,0.1674313446918225,0.8333633463186242,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Extended,5000,5,TabPFN,1,0.1996351009931683,0.1267925433827093,0.8678966050122607,{}
California Housing,Extended,5000,5,TabPFN,2,0.1905798221263921,0.1315377117197696,0.8910524346503133,{}
California Housing,Extended,5000,5,TabPFN,3,0.2096626017799844,0.1352805678572709,0.871785607057693,{}
California Housing,Extended,5000,5,TabPFN,4,0.1791898677425679,0.1262615585860804,0.8979476252802507,{}
California Housing,Extended,5000,5,TabPFN,5,0.1907889480831048,0.1285790376246373,0.8873443956330413,{}
California Housing,Parsimonious,10000,5,Ridge,1,0.4067069579525683,0.3072508175407922,0.4917342671416782,{'model__alpha': 10}
California Housing,Parsimonious,10000,5,Ridge,2,0.4192132515496821,0.3109488217251842,0.4637690699914214,{'model__alpha': 1}
California Housing,Parsimonious,10000,5,Ridge,3,0.4102569790307217,0.3181862427394961,0.4787794277656657,{'model__alpha': 1}
California Housing,Parsimonious,10000,5,Ridge,4,0.3969452005872285,0.3045209016864996,0.508884934917472,{'model__alpha': 100}
California Housing,Parsimonious,10000,5,Ridge,5,0.3964266661574357,0.3076960638586549,0.4927337729679325,{'model__alpha': 10}
California Housing,Parsimonious,10000,5,Random Forest,1,0.3541445494042657,0.26796766475127,0.6146203748964603,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,10000,5,Random Forest,2,0.3573374404731103,0.269502429994172,0.610382100762922,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,10000,5,Random Forest,3,0.3604849356952914,0.2733481852062044,0.5975760360328828,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,10000,5,Random Forest,4,0.3459685193156707,0.2628221887018735,0.6269257182533335,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 200}"
California Housing,Parsimonious,10000,5,Random Forest,5,0.3474464654789622,0.2667915151159151,0.6103398222149873,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}"
California Housing,Parsimonious,10000,5,XGBoost,1,0.3498082316442037,0.2629521773412946,0.6240001462986726,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Parsimonious,10000,5,XGBoost,2,0.3562098840325967,0.2693301457474917,0.6128370523257181,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Parsimonious,10000,5,XGBoost,3,0.3604364352464279,0.2748267178487268,0.5976843147872658,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100, 'model__subsample': 0.8}"
California Housing,Parsimonious,10000,5,XGBoost,4,0.3443508073894861,0.2611009404146345,0.6304064725301965,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Parsimonious,10000,5,XGBoost,5,0.3451668867908914,0.2658573546938714,0.6154361303197675,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
California Housing,Parsimonious,10000,5,TabPFN,1,0.3421516896558729,0.2563964569919498,0.6402796527821863,{}
California Housing,Parsimonious,10000,5,TabPFN,2,0.3478278148777921,0.2612482793053471,0.6308435400840255,{}
California Housing,Parsimonious,10000,5,TabPFN,3,0.3519381490627981,0.2649388064834736,0.6164320737775583,{}
California Housing,Parsimonious,10000,5,TabPFN,4,0.3383683165990081,0.2546984516646691,0.6431369957333338,{}
California Housing,Parsimonious,10000,5,TabPFN,5,0.340122235847193,0.2604638846863885,0.6265948710774896,{}
California Housing,Extended,10000,5,Ridge,1,0.347388827924821,0.2605525738138157,0.6291832693166868,{'model__alpha': 1}
California Housing,Extended,10000,5,Ridge,2,0.3489680708094886,0.262894770282033,0.628419221037416,{'model__alpha': 1}
California Housing,Extended,10000,5,Ridge,3,0.3561585371332583,0.273564238724637,0.6071775400620536,{'model__alpha': 0.001}
California Housing,Extended,10000,5,Ridge,4,0.3452075708226838,0.2616665523405642,0.628565047221521,{'model__alpha': 0.001}
California Housing,Extended,10000,5,Ridge,5,0.3464777575324937,0.2651251109252477,0.6125095994005123,{'model__alpha': 0.001}
California Housing,Extended,10000,5,Random Forest,1,0.2407337525388581,0.1660161346567447,0.8219255559418024,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,10000,5,Random Forest,2,0.2436127424237013,0.1738752581159698,0.8189152585816984,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,10000,5,Random Forest,3,0.2436700116831892,0.1729770046884994,0.8161287783817072,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
California Housing,Extended,10000,5,Random Forest,4,0.2453521821098853,0.1716420777056744,0.812370122287477,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
