specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params
Extended,2930,5,Random Forest,3,0.14988106446117486,0.09375788830837041,0.8635102588920142,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,2930,5,Random Forest,4,0.13248889873393616,0.08783305236017472,0.8921799828555103,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}"
Extended,2930,5,Random Forest,5,0.13522887739069475,0.09615450116714544,0.8900675558313365,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}"
Extended,2930,5,XGBoost,1,0.11439789242119176,0.08425106082431083,0.920811549622474,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,2930,5,XGBoost,2,0.14276964030970068,0.09046741229979033,0.8808890654812003,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,2930,5,XGBoost,3,0.14380497574574053,0.08719194934632642,0.8743523707184617,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 1.0}"
Extended,2930,5,XGBoost,4,0.12281419897055992,0.0813926855843887,0.9073516741333296,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,2930,5,XGBoost,5,0.12410778768074777,0.08595124504338535,0.9074055265143441,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 300, 'model__subsample': 0.8}"
Extended,2930,5,TabPFN,1,0.09921258987308161,0.07122232654940772,0.9404393579041518,{}
Extended,2930,5,TabPFN,2,0.13365829615831737,0.08170937758706452,0.8956069124873408,{}
Extended,2930,5,TabPFN,3,0.13905642916167724,0.07973138952865245,0.8825133235799445,{}
Extended,2930,5,TabPFN,4,0.11498563118339589,0.07648633225649452,0.9187866242057058,{}
Extended,2930,5,TabPFN,5,0.11021618432484406,0.077139437008756,0.9269739614844319,{}
