dataset,specification,sample_size,outer_folds,model,zipcode_representation,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,result_source
King County,Parsimonious,5000,5,OLS,Not applicable,0.3579632561940327,0.0103069945355215,0.2873369250910499,0.0063518824313035,0.5409740333117464,0.0247945674946551,5-fold sample-size experiment
King County,Parsimonious,5000,5,Ridge,Not applicable,0.3579882782639645,0.010290204706752,0.2874082111677086,0.0063131129394221,0.5409057460644611,0.0248725063270874,5-fold sample-size experiment
King County,Parsimonious,5000,5,Random Forest,Not applicable,0.3458352012151081,0.0060322764548484,0.2729580330981721,0.0059632746855782,0.5713242752633865,0.0240627136909327,5-fold sample-size experiment
King County,Parsimonious,5000,5,XGBoost,Not applicable,0.3401594033952543,0.0074459046934347,0.2697654583688929,0.0056294648055405,0.5853618516990358,0.0228569588302662,5-fold sample-size experiment
King County,Parsimonious,5000,5,TabPFN,Not applicable,0.3344690953948993,0.0065585234286758,0.262739861758664,0.0044105994069468,0.5989807728494747,0.0244748242223041,5-fold sample-size experiment
King County,Parsimonious,21613,5,OLS,Not applicable,0.3567606387186964,0.0052910012105346,0.2854616290551776,0.002605650070942,0.5409189187013002,0.0136307157987486,5-fold sample-size experiment
King County,Parsimonious,21613,5,Ridge,Not applicable,0.3567603778223726,0.00528652157769,0.2854732696655412,0.0026025255999737,0.5409196614289457,0.0136216768444449,5-fold sample-size experiment
King County,Parsimonious,21613,5,Random Forest,Not applicable,0.3367216405434045,0.0050437185860786,0.2643439904829676,0.0023995851218936,0.5910047212978902,0.0136765833777029,5-fold sample-size experiment
King County,Parsimonious,21613,5,XGBoost,Not applicable,0.3333403755114916,0.0046050598645255,0.2629721754800164,0.0031813136599265,0.5991676649208745,0.0133426525567902,5-fold sample-size experiment
King County,Parsimonious,21613,5,TabPFN,Not applicable,0.3269661839455921,0.0052179525120985,0.2552510154093151,0.0032703847786427,0.614306702681406,0.0150163259079516,5-fold sample-size experiment
King County,Extended,1000,5,OLS,One-hot encoded,0.2086569232585451,0.0104573330856512,0.1518347101724438,0.0042968937305283,0.8508618548288853,0.0285006571357573,5-fold sample-size experiment
King County,Extended,1000,5,Ridge,One-hot encoded,0.2075831914198282,0.009660931082194,0.1519124748643529,0.0034020400062317,0.8527070583191962,0.0249168009171497,5-fold sample-size experiment
King County,Extended,1000,5,Random Forest,One-hot encoded,0.2238029887257728,0.0105953576209342,0.1593225199812702,0.0065250677109471,0.8294185243331327,0.0265634266026296,5-fold sample-size experiment
King County,Extended,1000,5,XGBoost,One-hot encoded,0.2055543915693579,0.0094985200589953,0.1475987743593435,0.0076028410864459,0.8551177931323979,0.0283144747412257,5-fold sample-size experiment
King County,Extended,1000,5,TabPFN,Category-coded,0.1842755429184797,0.0123416811538456,0.1301426603873623,0.0061681308174781,0.8834483265013839,0.0252048989627486,5-fold sample-size experiment
King County,Extended,2500,5,OLS,One-hot encoded,0.191899147718759,0.0101887019648705,0.1412615031370772,0.0079417000354341,0.8729678445471489,0.0099154158530563,5-fold sample-size experiment
King County,Extended,2500,5,Ridge,One-hot encoded,0.1919460375623685,0.0101175198721559,0.1413408957247589,0.0078553737440156,0.8729043899668463,0.0098712962918847,5-fold sample-size experiment
King County,Extended,2500,5,Random Forest,One-hot encoded,0.1998391402866571,0.0143362925385151,0.1422316541502363,0.0090909840381128,0.8620008293772722,0.01745193440754,5-fold sample-size experiment
King County,Extended,2500,5,XGBoost,One-hot encoded,0.1815441828111381,0.0095025009157372,0.1308715897875947,0.0068725029956605,0.8862595800234635,0.009486627741041,5-fold sample-size experiment
King County,Extended,2500,5,TabPFN,Category-coded,0.1677108808771128,0.0079823556674011,0.1179767105325924,0.0072468643348234,0.9029559213315692,0.0070694425556559,5-fold sample-size experiment
King County,Extended,5000,5,OLS,One-hot encoded,0.1881645633575853,0.0059678136878203,0.1385894604101902,0.0027275763411526,0.873000351504562,0.0103786354082996,5-fold sample-size experiment
King County,Extended,5000,5,Ridge,One-hot encoded,0.1881796150875549,0.0060444654650229,0.1386049717297631,0.0027661622603474,0.8729810144630346,0.010405953197787,5-fold sample-size experiment
King County,Extended,5000,5,Random Forest,One-hot encoded,0.1920856998322037,0.0080564261032995,0.1360967664742802,0.0036118447976042,0.8674366526716362,0.0147650921447735,5-fold sample-size experiment
King County,Extended,5000,5,XGBoost,One-hot encoded,0.172946611973125,0.007133567933655,0.1247427508060909,0.0033958387687186,0.8927591551519006,0.0088598267211101,5-fold sample-size experiment
King County,Extended,5000,5,TabPFN,Category-coded,0.1612506961265277,0.008756905509825,0.1137724417574969,0.0036052996394162,0.9066145113665882,0.0109529272018716,5-fold sample-size experiment
King County,Extended,21613,5,OLS,One-hot encoded,0.1880688433266821,0.0011205083274243,0.1378803207816935,0.0008361397908075,0.8724412956524323,0.0016536939388911,5-fold sample-size experiment
King County,Extended,21613,5,Ridge,One-hot encoded,0.1880666869933512,0.0011250505088865,0.1378778996880151,0.0008386513258006,0.872444162052124,0.0016621985290048,5-fold sample-size experiment
