"dataset","specification","sample_size","outer_folds","model","zipcode_representation","completed_folds","n_test_n_train_ratio","rmse_mean","rmse_sample_variance","rmse_std","rmse_corrected_se","mae_mean","mae_sample_variance","mae_std","mae_corrected_se","r2_mean","r2_sample_variance","r2_std","r2_corrected_se"
"King County","Parsimonious","5000","5","XGBoost","Not applicable","5","0.25","0.340159403395254","5.54414967037129E-05","0.0074459046934347","0.00499486471455142","0.269765458368893","3.16908739968197E-05","0.00562946480554055","0.00377635979463939","0.585361851699036","0.000522440566968485","0.0228569588302662","0.0153329141110168"
"King County","Parsimonious","5000","5","TabPFN","Not applicable","5","0.25","0.334469095394899","4.30142295644896E-05","0.00655852342867582","0.00439959126556324","0.262739861758664","1.94533871285599E-05","0.00441059940694685","0.00295872002863603","0.598980772849475","0.000599017020712683","0.0244748242223041","0.0164182112095291"
"King County","Parsimonious","10000","5","OLS","Not applicable","5","0.25","0.356385422234386","6.22274713095398E-05","0.00788843909208531","0.00529172581388085","0.28626732562413","1.34253004756319E-05","0.00366405519549473","0.00245792294713125","0.538317843916307","0.000595182308720621","0.0243963585135286","0.0163655748119117"
"King County","Parsimonious","10000","5","Ridge","Not applicable","5","0.25","0.356387635865097","6.18096232766092E-05","0.00786190964566556","0.00527392932020084","0.28629294154371","1.34234544945674E-05","0.00366380328273331","0.00245775395891357","0.538313653779325","0.000591963348872996","0.0243302969335147","0.0163212593568281"
"King County","Parsimonious","10000","5","Random Forest","Not applicable","5","0.25","0.338596854444389","3.58140619453636E-05","0.00598448510277731","0.00401451465004346","0.26744916192904","1.05430007560319E-05","0.00324699873052514","0.00217815296529292","0.583394205420498","0.000269307141498609","0.0164105801694702","0.0110085518427436"
"King County","Parsimonious","10000","5","XGBoost","Not applicable","5","0.25","0.335802381849473","5.19545335488013E-05","0.00720794933034364","0.00483523940430674","0.266031227538025","1.11842025343977E-05","0.00334427907543579","0.00224341060452137","0.590181233978801","0.00037427510873263","0.0193461910652363","0.0129778194982703"
"King County","Parsimonious","10000","5","TabPFN","Not applicable","5","0.25","0.329891338076002","6.05012434756792E-05","0.00777825452628539","0.00521781176012087","0.25862307379441","1.2656223298427E-05","0.00355755861489688","0.00238648286905483","0.604468389567263","0.000390105414140433","0.0197510864040547","0.0132494315486814"
"King County","Parsimonious","21613","5","OLS","Not applicable","5","0.25","0.356760638718697","2.79946938098795E-05","0.00529100121053468","0.00354931151273677","0.285461629055178","6.78941229220005E-06","0.002605650070942","0.00174792320526104","0.5409189187013","0.000185796413186258","0.0136307157987487","0.00914376213239474"
"King County","Parsimonious","21613","5","Ridge","Not applicable","5","0.25","0.356760377822373","2.79473103913828E-05","0.00528652157769008","0.00354630648367034","0.285473269665541","6.77313949851872E-06","0.00260252559997375","0.00174582724641742","0.540919661428946","0.000185550080054487","0.0136216768444449","0.0091376986175141"
"King County","Parsimonious","21613","5","Random Forest","Not applicable","5","0.25","0.336721640543405","2.54390971755553E-05","0.00504371858607866","0.0033834292853553","0.264343990482968","5.75800875721328E-06","0.00239958512189363","0.00160969063510538","0.59100472129789","0.00018704893288726","0.0136765833777029","0.00917453103974623"
"King County","Parsimonious","21613","5","XGBoost","Not applicable","5","0.25","0.333340375511492","2.12065763558638E-05","0.00460505986452552","0.00308916806926051","0.262972175480016","1.01207566028352E-05","0.00318131365992654","0.00213409008040332","0.599167664920874","0.00017802637725122","0.0133426525567902","0.00895052343514328"
"King County","Parsimonious","21613","5","TabPFN","Not applicable","5","0.25","0.326966183945592","2.72270284185154E-05","0.00521795251209853","0.00350030895612543","0.255251015409315","1.06954166003783E-05","0.00327038477864276","0.00219384080328774","0.614306702681406","0.000225490043773819","0.0150163259079516","0.0100732576507413"
"King County","Extended","1000","5","OLS","One-hot encoded","5","0.25","0.208656923258545","0.000109355815264257","0.0104573330856513","0.00701499229286218","0.151834710172444","1.84632957314534E-05","0.0042968937305283","0.00288244394206618","0.850861854828885","0.000812287457169995","0.0285006571357573","0.0191188220276903"
"King County","Extended","1000","5","Ridge","One-hot encoded","5","0.25","0.207583191419828","9.33335893749028E-05","0.00966093108219404","0.00648074958771794","0.151912474864353","1.15738762040013E-05","0.00340204000623175","0.0022821578148324","0.852707058319196","0.000620846967944873","0.0249168009171497","0.0167146981897728"
"King County","Extended","1000","5","Random Forest","One-hot encoded","5","0.25","0.223802988725773","0.000112261603115489","0.0105953576209342","0.0071075819658988","0.15932251998127","4.25765086324451E-05","0.00652506771094715","0.00437714848784003","0.829418524333133","0.000705615632873293","0.0265634266026297","0.0178192882796419"
"King County","Extended","1000","5","XGBoost","One-hot encoded","5","0.25","0.205554391569358","9.02218833111369E-05","0.00949852005899534","0.00637180096126767","0.147598774359343","5.78031925857503E-05","0.00760284108644593","0.00510014084742643","0.855117793132398","0.000801709479871514","0.0283144747412258","0.0189939270805745"
"King County","Extended","1000","5","TabPFN","Category-coded","5","0.25","0.18427554291848","0.000152317093703188","0.0123416811538456","0.00827905140498805","0.130142660387362","3.80458377815241E-05","0.00616813081747818","0.00413770794059777","0.883448326501384","0.000635286931722366","0.0252048989627486","0.0169079602340159"
"King County","Extended","2500","5","OLS","One-hot encoded","5","0.25","0.191899147718759","0.000103809647728957","0.0101887019648706","0.00683478905878087","0.141261503137077","6.30705994528154E-05","0.00794170003543419","0.005327454340843","0.872967844547149","9.83154715390406E-05","0.00991541585305632","0.0066514631617839"
"King County","Extended","2500","5","Ridge","One-hot encoded","5","0.25","0.191946037562369","0.00010236420836347","0.0101175198721559","0.00678703865935368","0.141340895724759","6.17068966581703E-05","0.00785537374401564","0.0052695449040858","0.872904389966846","9.7442490482177E-05","0.00987129629188472","0.00662186686040875"
"King County","Extended","2500","5","Random Forest","One-hot encoded","5","0.25","0.199839140286657","0.000205529283749886","0.0143362925385152","0.0096170773984329","0.142231654150236","8.26459907812222E-05","0.00909098403811283","0.00609841748747575","0.862000829377272","0.000304570014565081","0.0174519344075401","0.0117071135022381"
"King County","Extended","2500","5","XGBoost","One-hot encoded","5","0.25","0.181544182811138","9.02975236535864E-05","0.0095025009157372","0.00637447140115272","0.130871589787595","4.7231297425363E-05","0.00687250299566053","0.00461021516216037","0.886259580023464","8.99961058970902E-05","0.00948662774104108","0.00636382335186094"
"King County","Extended","2500","5","TabPFN","Category-coded","5","0.25","0.167710880877113","6.37180020008907E-05","0.00798235566740112","0.00535472696786688","0.117976710532592","5.25170426873359E-05","0.00724686433482343","0.0048613443829152","0.902955921331569","4.99770180477183E-05","0.00706944255565588","0.00474232623524292"
"King County","Extended","5000","5","OLS","One-hot encoded","5","0.25","0.188164563357585","3.56148002125358E-05","0.00596781368782034","0.004003331124906","0.13858946041019","7.43967269681565E-06","0.00272757634115264","0.00182971383379124","0.873000351504562","0.000107716072938411","0.0103786354082996","0.00696220028599328"
"King County","Extended","5000","5","Ridge","One-hot encoded","5","0.25","0.188179615087555","3.65355627578548E-05","0.00604446546502293","0.00405475070023234","0.138604971729763","7.65165365057023E-06","0.0027661622603474","0.00185559805527938","0.872981014463035","0.000108283861954535","0.0104059531977871","0.00698052561627997"
