dataset,specification,sample_size,outer_folds,model,fold,rmse,mae,r2,best_params,zipcode_representation
King County,Parsimonious,21613,5,OLS,2,0.3536140470162607,0.2851032559476315,0.5402853429709132,{},Not applicable
King County,Parsimonious,21613,5,OLS,3,0.3658573350304843,0.2899108751910513,0.5196676187670533,{},Not applicable
King County,Parsimonious,21613,5,OLS,4,0.3525493892251632,0.2834136938213326,0.5543297583808302,{},Not applicable
King County,Parsimonious,21613,5,OLS,5,0.3556894424130861,0.2851303016539042,0.5390154472265904,{},Not applicable
King County,Extended,21613,5,OLS,1,0.1884017987253607,0.138347394364581,0.8743961954939228,{},One-hot encoded
King County,Extended,21613,5,OLS,2,0.1861553226168394,0.1370881563989942,0.8725968254315686,{},One-hot encoded
King County,Extended,21613,5,OLS,3,0.1887343669075755,0.1390869933120028,0.8721736731557775,{},One-hot encoded
King County,Extended,21613,5,OLS,4,0.188085817643761,0.137209111721784,0.8731513639447622,{},One-hot encoded
King County,Extended,21613,5,OLS,5,0.1889669107398741,0.1376699481111056,0.869888420236131,{},One-hot encoded
King County,Parsimonious,10000,5,OLS,1,0.3565247025986165,0.2868224086005624,0.5525400262768886,{},Not applicable
King County,Parsimonious,10000,5,OLS,2,0.3597340665984202,0.2838521230288214,0.5443657073348006,{},Not applicable
King County,Parsimonious,10000,5,OLS,3,0.3554139898570761,0.2866587642595225,0.5327525065292105,{},Not applicable
King County,Parsimonious,10000,5,OLS,4,0.3443205341336473,0.282188759245045,0.5626103542892913,{},Not applicable
King County,Parsimonious,10000,5,OLS,5,0.3659338179841698,0.2918145729866997,0.4993206251513447,{},Not applicable
King County,Parsimonious,10000,5,Ridge,1,0.3565335675316354,0.2868427961150838,0.5525177739505699,{'model__alpha': 10},Not applicable
King County,Parsimonious,10000,5,Ridge,2,0.3597330896006724,0.2838529487614976,0.5443681822356488,{'model__alpha': 1},Not applicable
King County,Parsimonious,10000,5,Ridge,3,0.3553882570016685,0.2866894828415435,0.5328201638373778,{'model__alpha': 10},Not applicable
King County,Parsimonious,10000,5,Ridge,4,0.3443731292189799,0.2822353018290424,0.5624767212326747,{'model__alpha': 10},Not applicable
King County,Parsimonious,10000,5,Ridge,5,0.3659101359725269,0.2918441781713836,0.4993854276403525,{'model__alpha': 10},Not applicable
King County,Parsimonious,10000,5,Random Forest,1,0.3407937725558201,0.2704337046270685,0.5911554239546049,"{'model__max_depth': 10, 'model__min_samples_leaf': 5, 'model__n_estimators': 500}",Not applicable
